2026-07-06 21:34:02,506 | INFO | readers | Reading CSV file: ../storage/raw/dados_A523_D_2025-01-01_2026-07-06.csv
2026-07-06 21:34:04,842 | INFO | jobs.job_raw | Writing DataFrame to Parquet at: ../storage/bronze/inmet/patrocinio/inmet_patrocinio.parquet
2026-07-06 21:34:04,843 | INFO | pipeline | Writing DataFrame to Parquet at: ../storage/bronze/inmet/patrocinio/inmet_patrocinio.parquet
2026-07-06 21:34:05,725 | INFO | jobs.job_raw | creating DataFrame for INMET (Franca) data from path: ../storage/raw/dados_A708_D_2025-01-01_2026-07-06.csv
2026-07-06 21:34:05,726 | INFO | pipeline | Creating DataFrame from path: ../storage/raw/dados_A708_D_2025-01-01_2026-07-06.csv
2026-07-06 21:34:05,726 | INFO | readers | Reading CSV file: ../storage/raw/dados_A708_D_2025-01-01_2026-07-06.csv
2026-07-06 21:34:05,963 | INFO | jobs.job_raw | Writing DataFrame to Parquet at: ../storage/bronze/inmet/franca/inmet_franca.parquet
2026-07-06 21:34:05,963 | INFO | pipeline | Writing DataFrame to Parquet at: ../storage/bronze/inmet/franca/inmet_franca.parquet
2026-07-06 21:34:06,140 | INFO | py4j.clientserver | Closing down clientserver connection
2026-07-06 21:40:42,892 | INFO | spark_session | Creating Spark session
2026-07-06 21:40:49,614 | INFO | py4j.clientserver | Closing down clientserver connection
2026-07-06 21:41:57,643 | INFO | spark_session | Creating Spark session
2026-07-06 21:42:04,848 | INFO | pipeline | Downloading tax series 11 from 01/01/2020 to 31/12/2020
2026-07-06 21:42:04,848 | INFO | downloader | Downloading series 11 to ../storage/raw/serie_11.json
2026-07-06 21:42:06,494 | INFO | py4j.clientserver | Closing down clientserver connection
2026-07-06 21:50:08,736 | INFO | spark_session | Creating Spark session
2026-07-06 21:50:15,514 | INFO | jobs.job_bronze | Starting raw data ingestion jobs...
2026-07-06 21:50:15,515 | INFO | jobs.job_bronze | creating DataFrame for Robusta data from path: ../storage/raw/ROBUSTA_CEPEA_20260706165657.xls
2026-07-06 21:50:15,515 | INFO | pipeline | Creating DataFrame from path: ../storage/raw/ROBUSTA_CEPEA_20260706165657.xls
2026-07-06 21:50:15,515 | INFO | readers | Reading Excel file: ../storage/raw/ROBUSTA_CEPEA_20260706165657.xls
2026-07-06 21:50:16,934 | INFO | jobs.job_bronze | Writing DataFrame to Parquet at: ../storage/bronze/cepea/robusta/robusta_cepea.parquet
2026-07-06 21:50:16,934 | INFO | pipeline | Writing DataFrame to Parquet at: ../storage/bronze/cepea/robusta/robusta_cepea.parquet
2026-07-06 21:50:19,878 | INFO | jobs.job_bronze | creating DataFrame for Arabica data from path: ../storage/raw/ARABICA_CEPEA_20260706165648.xls
2026-07-06 21:50:19,878 | INFO | pipeline | Creating DataFrame from path: ../storage/raw/ARABICA_CEPEA_20260706165648.xls
2026-07-06 21:50:19,878 | INFO | readers | Reading Excel file: ../storage/raw/ARABICA_CEPEA_20260706165648.xls
2026-07-06 21:50:20,017 | INFO | jobs.job_bronze | Writing DataFrame to Parquet at: ../storage/bronze/cepea/arabica/arabica_cepa.parquet
2026-07-06 21:50:20,017 | INFO | pipeline | Writing DataFrame to Parquet at: ../storage/bronze/cepea/arabica/arabica_cepa.parquet
2026-07-06 21:50:20,679 | INFO | py4j.clientserver | Closing down clientserver connection
2026-07-06 21:56:10,537 | INFO | spark_session | Creating Spark session
2026-07-06 21:56:18,806 | INFO | jobs.job_silver | Starting silver standardization jobs...
2026-07-06 21:56:18,806 | INFO | jobs.job_silver | Standardizing IPCA data from ../storage/bronze/bcb/ipca/serie_433.parquet
2026-07-06 21:56:18,806 | INFO | pipeline | Reading Parquet file: ../storage/bronze/bcb/ipca/serie_433.parquet
2026-07-06 21:56:21,236 | INFO | pipeline | Writing DataFrame to Parquet at: ../storage/silver/bcb/ipca/serie_433.parquet
2026-07-06 21:56:24,472 | INFO | jobs.job_silver | Standardizing SELIC data from ../storage/bronze/bcb/selic/serie_11.parquet
2026-07-06 21:56:24,473 | INFO | pipeline | Reading Parquet file: ../storage/bronze/bcb/selic/serie_11.parquet
2026-07-06 21:56:24,745 | INFO | pipeline | Writing DataFrame to Parquet at: ../storage/silver/bcb/selic/serie_11.parquet
