2026-07-09 22:55:41,147 | INFO | py4j.clientserver | Closing down clientserver connection
2026-07-09 22:58:30,587 | INFO | app.src.run | Starting pipeline...
2026-07-09 22:58:30,587 | INFO | app.src.utils.spark_session | Creating Spark session
2026-07-09 22:58:37,816 | INFO | app.src.jobs.job_bronze | Starting Bronze ingestion...
2026-07-09 22:58:37,816 | INFO | app.src.jobs.job_bronze | Reading source 'ipca' from /home/ivan/Documentos/Labs/Culltivo/storage/raw/serie_433.json
2026-07-09 22:58:37,816 | INFO | app.src.pipeline.manager | Reading dataset: /home/ivan/Documentos/Labs/Culltivo/storage/raw/serie_433.json
2026-07-09 22:58:40,391 | INFO | py4j.clientserver | Closing down clientserver connection
2026-07-09 22:59:44,543 | INFO | app.src.run | Starting pipeline...
2026-07-09 22:59:44,543 | INFO | app.src.utils.spark_session | Creating Spark session
2026-07-09 22:59:52,038 | INFO | app.src.jobs.job_bronze | Starting Bronze ingestion...
2026-07-09 22:59:52,038 | INFO | app.src.jobs.job_bronze | Reading source 'ipca' from /home/ivan/Documentos/Labs/Culltivo/storage/raw/serie_433.json
2026-07-09 22:59:52,038 | INFO | app.src.pipeline.manager | Reading dataset: /home/ivan/Documentos/Labs/Culltivo/storage/raw/serie_433.json
2026-07-09 22:59:54,834 | INFO | py4j.clientserver | Closing down clientserver connection
2026-07-09 23:00:40,135 | INFO | app.src.run | Starting pipeline...
2026-07-09 23:00:40,135 | INFO | app.src.utils.spark_session | Creating Spark session
2026-07-09 23:00:47,686 | INFO | app.src.jobs.job_bronze | Starting Bronze ingestion...
2026-07-09 23:00:47,686 | INFO | app.src.jobs.job_bronze | Reading source 'ipca' from /home/ivan/Documentos/Labs/Culltivo/storage/raw/serie_433.json
2026-07-09 23:00:47,686 | INFO | app.src.pipeline.manager | Reading dataset: /home/ivan/Documentos/Labs/Culltivo/storage/raw/serie_433.json
2026-07-09 23:00:49,153 | INFO | app.src.pipeline.manager | Writing parquet dataset: /home/ivan/Documentos/Labs/Culltivo/storage/bronze/bcb/ipca/serie_433.parquet
2026-07-09 23:00:50,764 | INFO | app.src.jobs.job_bronze | Bronze dataset successfully created: ipca
2026-07-09 23:00:50,767 | INFO | app.src.jobs.job_bronze | Reading source 'selic' from /home/ivan/Documentos/Labs/Culltivo/storage/raw/serie_11.json
2026-07-09 23:00:50,767 | INFO | app.src.pipeline.manager | Reading dataset: /home/ivan/Documentos/Labs/Culltivo/storage/raw/serie_11.json
2026-07-09 23:00:50,902 | INFO | app.src.pipeline.manager | Writing parquet dataset: /home/ivan/Documentos/Labs/Culltivo/storage/bronze/bcb/selic/serie_11.parquet
2026-07-09 23:00:51,097 | INFO | app.src.jobs.job_bronze | Bronze dataset successfully created: selic
2026-07-09 23:00:51,098 | INFO | app.src.jobs.job_bronze | Reading source 'robusta' from /home/ivan/Documentos/Labs/Culltivo/storage/raw/ROBUSTA_CEPEA_20260706165657.xls
2026-07-09 23:00:51,098 | INFO | app.src.pipeline.manager | Reading dataset: /home/ivan/Documentos/Labs/Culltivo/storage/raw/ROBUSTA_CEPEA_20260706165657.xls
2026-07-09 23:00:51,555 | INFO | app.src.pipeline.manager | Writing parquet dataset: /home/ivan/Documentos/Labs/Culltivo/storage/bronze/cepea/robusta/robusta_cepea.parquet
2026-07-09 23:00:52,555 | INFO | app.src.jobs.job_bronze | Bronze dataset successfully created: robusta
2026-07-09 23:00:52,557 | INFO | app.src.jobs.job_bronze | Reading source 'arabica' from /home/ivan/Documentos/Labs/Culltivo/storage/raw/ARABICA_CEPEA_20260706165648.xls
2026-07-09 23:00:52,557 | INFO | app.src.pipeline.manager | Reading dataset: /home/ivan/Documentos/Labs/Culltivo/storage/raw/ARABICA_CEPEA_20260706165648.xls
2026-07-09 23:00:52,735 | INFO | app.src.pipeline.manager | Writing parquet dataset: /home/ivan/Documentos/Labs/Culltivo/storage/bronze/cepea/arabica/arabica_cepa.parquet
2026-07-09 23:00:53,353 | INFO | app.src.jobs.job_bronze | Bronze dataset successfully created: arabica
2026-07-09 23:00:53,354 | INFO | app.src.jobs.job_bronze | Reading source 'inmet_patrocinio' from /home/ivan/Documentos/Labs/Culltivo/storage/raw/dados_A523_D_2025-01-01_2026-07-06_inmet_patrocinio_cleaned.csv
2026-07-09 23:00:53,354 | INFO | app.src.pipeline.manager | Reading dataset: /home/ivan/Documentos/Labs/Culltivo/storage/raw/dados_A523_D_2025-01-01_2026-07-06_inmet_patrocinio_cleaned.csv
2026-07-09 23:00:53,927 | INFO | app.src.pipeline.manager | Writing parquet dataset: /home/ivan/Documentos/Labs/Culltivo/storage/bronze/inmet/patrocinio/inmet_patrocinio.parquet
2026-07-09 23:00:54,452 | INFO | app.src.jobs.job_bronze | Bronze dataset successfully created: inmet_patrocinio
2026-07-09 23:00:54,453 | INFO | app.src.jobs.job_bronze | Reading source 'inmet_franca' from /home/ivan/Documentos/Labs/Culltivo/storage/raw/dados_A708_D_2025-01-01_2026-07-06_inmet_franca_cleaned.csv
2026-07-09 23:00:54,453 | INFO | app.src.pipeline.manager | Reading dataset: /home/ivan/Documentos/Labs/Culltivo/storage/raw/dados_A708_D_2025-01-01_2026-07-06_inmet_franca_cleaned.csv
2026-07-09 23:00:54,711 | INFO | app.src.pipeline.manager | Writing parquet dataset: /home/ivan/Documentos/Labs/Culltivo/storage/bronze/inmet/franca/inmet_franca.parquet
2026-07-09 23:00:54,902 | INFO | app.src.jobs.job_bronze | Bronze dataset successfully created: inmet_franca
2026-07-09 23:00:54,903 | INFO | app.src.jobs.job_bronze | Bronze ingestion finished.
2026-07-09 23:00:54,904 | INFO | py4j.clientserver | Closing down clientserver connection
2026-07-09 23:02:30,344 | INFO | app.src.run | Starting pipeline...
2026-07-09 23:02:30,344 | INFO | app.src.utils.spark_session | Creating Spark session
2026-07-09 23:02:38,238 | INFO | app.src.jobs.job_silver | Starting Silver Process...
2026-07-09 23:02:38,238 | INFO | app.src.pipeline.manager | Reading dataset: /home/ivan/Documentos/Labs/Culltivo/storage/bronze/bcb/ipca/serie_433.parquet
